pid,sex,study_group,timepoint,training_day,weight
10023259,Male,Control,8 weeks,1,340
10023259,Male,Control,8 weeks,6,333
10023259,Male,Control,8 weeks,11,332
10023259,Male,Control,8 weeks,16,338
10023259,Male,Control,8 weeks,21,336
10023259,Male,Control,8 weeks,26,341
10023259,Male,Control,8 weeks,31,348
10023259,Male,Control,8 weeks,36,349
10024735,Male,Training,8 weeks,1,333
10024735,Male,Training,8 weeks,6,319
10024735,Male,Training,8 weeks,11,317
10024735,Male,Training,8 weeks,16,318
10024735,Male,Training,8 weeks,21,315
10024735,Male,Training,8 weeks,26,316
10024735,Male,Training,8 weeks,31,312
10024735,Male,Training,8 weeks,36,311
10024816,Male,Control,8 weeks,1,315
10024816,Male,Control,8 weeks,6,306
10024816,Male,Control,8 weeks,11,308
10024816,Male,Control,8 weeks,16,318
10024816,Male,Control,8 weeks,21,318
10024816,Male,Control,8 weeks,26,322
10024816,Male,Control,8 weeks,31,328
10024816,Male,Control,8 weeks,36,329
10025464,Male,Control,8 weeks,1,321
10025464,Male,Control,8 weeks,6,309
10025464,Male,Control,8 weeks,11,312
10025464,Male,Control,8 weeks,16,323
10025464,Male,Control,8 weeks,21,326
10025464,Male,Control,8 weeks,26,327
10025464,Male,Control,8 weeks,31,337
10025464,Male,Control,8 weeks,36,335
10025545,Male,Control,8 weeks,1,348
10025545,Male,Control,8 weeks,6,338
10025545,Male,Control,8 weeks,11,343
10025545,Male,Control,8 weeks,16,351
10025545,Male,Control,8 weeks,21,348
10025545,Male,Control,8 weeks,26,350
10025545,Male,Control,8 weeks,31,355
10025545,Male,Control,8 weeks,36,359
10025626,Male,Training,8 weeks,1,317
10025626,Male,Training,8 weeks,6,305
10025626,Male,Training,8 weeks,11,303
10025626,Male,Training,8 weeks,16,306
10025626,Male,Training,8 weeks,21,302
10025626,Male,Training,8 weeks,26,301
10025626,Male,Training,8 weeks,31,300
10025626,Male,Training,8 weeks,36,296
10025707,Male,Training,8 weeks,1,363
10025707,Male,Training,8 weeks,6,348
10025707,Male,Training,8 weeks,11,347
10025707,Male,Training,8 weeks,16,350
10025707,Male,Training,8 weeks,21,341
10025707,Male,Training,8 weeks,26,338
10025707,Male,Training,8 weeks,31,335
10025707,Male,Training,8 weeks,36,335
10025898,Male,Training,8 weeks,1,343
10025898,Male,Training,8 weeks,6,332
10025898,Male,Training,8 weeks,11,331
10025898,Male,Training,8 weeks,16,338
10025898,Male,Training,8 weeks,21,333
10025898,Male,Training,8 weeks,26,328
10025898,Male,Training,8 weeks,31,329
10025898,Male,Training,8 weeks,36,329
10025979,Male,Training,8 weeks,1,364
10025979,Male,Training,8 weeks,6,344
10025979,Male,Training,8 weeks,11,339
10025979,Male,Training,8 weeks,16,348
10025979,Male,Training,8 weeks,21,341
10025979,Male,Training,8 weeks,26,339
10025979,Male,Training,8 weeks,31,337
10025979,Male,Training,8 weeks,36,334
10026002,Male,Control,8 weeks,1,346
10026002,Male,Control,8 weeks,6,336
10026002,Male,Control,8 weeks,11,339
10026002,Male,Control,8 weeks,16,354
10026002,Male,Control,8 weeks,21,352
10026002,Male,Control,8 weeks,26,355
10026002,Male,Control,8 weeks,31,365
10026002,Male,Control,8 weeks,36,369
10026193,Male,Training,8 weeks,1,341
10026193,Male,Training,8 weeks,6,326
10026193,Male,Training,8 weeks,11,328
10026193,Male,Training,8 weeks,16,335
10026193,Male,Training,8 weeks,21,327
10026193,Male,Training,8 weeks,26,325
10026193,Male,Training,8 weeks,31,325
10026193,Male,Training,8 weeks,36,326
10026274,Male,Control,8 weeks,1,310
10026274,Male,Control,8 weeks,6,301
10026274,Male,Control,8 weeks,11,303
10026274,Male,Control,8 weeks,16,312
10026274,Male,Control,8 weeks,21,312
10026274,Male,Control,8 weeks,26,313
10026274,Male,Control,8 weeks,31,320
10026274,Male,Control,8 weeks,36,329
10026355,Male,Control,8 weeks,1,375
10026355,Male,Control,8 weeks,6,370
10026355,Male,Control,8 weeks,11,373
10026355,Male,Control,8 weeks,16,378
10026355,Male,Control,8 weeks,21,376
10026355,Male,Control,8 weeks,26,377
10026355,Male,Control,8 weeks,31,382
10026355,Male,Control,8 weeks,36,395
10026436,Male,Training,8 weeks,1,348
10026436,Male,Training,8 weeks,6,336
10026436,Male,Training,8 weeks,11,334
10026436,Male,Training,8 weeks,16,340
10026436,Male,Training,8 weeks,21,328
10026436,Male,Training,8 weeks,26,322
10026436,Male,Training,8 weeks,31,319
10026436,Male,Training,8 weeks,36,324
10026517,Male,Control,8 weeks,1,337
10026517,Male,Control,8 weeks,6,338
10026517,Male,Control,8 weeks,11,343
10026517,Male,Control,8 weeks,16,354
10026517,Male,Control,8 weeks,21,352
10026517,Male,Control,8 weeks,26,359
10026517,Male,Control,8 weeks,31,369
10026517,Male,Control,8 weeks,36,368
10026789,Male,Control,8 weeks,1,345
10026789,Male,Control,8 weeks,6,336
10026789,Male,Control,8 weeks,11,339
10026789,Male,Control,8 weeks,16,351
10026789,Male,Control,8 weeks,21,351
10026789,Male,Control,8 weeks,26,355
10026789,Male,Control,8 weeks,31,371
10026789,Male,Control,8 weeks,36,358
10026940,Male,Training,8 weeks,1,350
10026940,Male,Training,8 weeks,6,342
10026940,Male,Training,8 weeks,11,338
10026940,Male,Training,8 weeks,16,337
10026940,Male,Training,8 weeks,21,331
10026940,Male,Training,8 weeks,26,330
10026940,Male,Training,8 weeks,31,338
10026940,Male,Training,8 weeks,36,332
10027084,Male,Training,8 weeks,1,354
10027084,Male,Training,8 weeks,6,342
10027084,Male,Training,8 weeks,11,340
10027084,Male,Training,8 weeks,16,339
10027084,Male,Training,8 weeks,21,333
10027084,Male,Training,8 weeks,26,331
10027084,Male,Training,8 weeks,31,335
10027084,Male,Training,8 weeks,36,326
10027165,Male,Training,8 weeks,1,331
10027165,Male,Training,8 weeks,6,316
10027165,Male,Training,8 weeks,11,316
10027165,Male,Training,8 weeks,16,317
10027165,Male,Training,8 weeks,21,285
10027165,Male,Training,8 weeks,26,292
10027165,Male,Training,8 weeks,31,312
10027165,Male,Training,8 weeks,36,302
10027246,Male,Training,8 weeks,1,316
10027246,Male,Training,8 weeks,6,300
10027246,Male,Training,8 weeks,11,295
10027246,Male,Training,8 weeks,16,296
10027246,Male,Training,8 weeks,21,290
10027246,Male,Training,8 weeks,26,292
10027246,Male,Training,8 weeks,31,297
10027246,Male,Training,8 weeks,36,289
10027327,Male,Control,8 weeks,1,375
10027327,Male,Control,8 weeks,6,366
10027327,Male,Control,8 weeks,11,336
10027327,Male,Control,8 weeks,16,345
10027327,Male,Control,8 weeks,21,346
10027327,Male,Control,8 weeks,26,348
10027327,Male,Control,8 weeks,31,350
10027327,Male,Control,8 weeks,36,353
10027408,Male,Training,8 weeks,1,347
10027408,Male,Training,8 weeks,6,336
10027408,Male,Training,8 weeks,11,334
10027408,Male,Training,8 weeks,16,326
10027408,Male,Training,8 weeks,21,327
10027408,Male,Training,8 weeks,26,326
10027408,Male,Training,8 weeks,31,325
10027408,Male,Training,8 weeks,36,322
10027599,Male,Control,8 weeks,1,338
10027599,Male,Control,8 weeks,6,328
10027599,Male,Control,8 weeks,11,328
10027599,Male,Control,8 weeks,16,332
10027599,Male,Control,8 weeks,21,335
10027599,Male,Control,8 weeks,26,342
10027599,Male,Control,8 weeks,31,347
10027599,Male,Control,8 weeks,36,349
10027831,Male,Control,8 weeks,1,349
10027831,Male,Control,8 weeks,6,336
10027831,Male,Control,8 weeks,11,370
10027831,Male,Control,8 weeks,16,375
10027831,Male,Control,8 weeks,21,379
10027831,Male,Control,8 weeks,26,384
10027831,Male,Control,8 weeks,31,388
10027831,Male,Control,8 weeks,36,388
10027912,Male,Training,8 weeks,1,351
10027912,Male,Training,8 weeks,6,340
10027912,Male,Training,8 weeks,11,331
10027912,Male,Training,8 weeks,16,319
10027912,Male,Training,8 weeks,21,320
10027912,Male,Training,8 weeks,26,322
10027912,Male,Training,8 weeks,31,318
10027912,Male,Training,8 weeks,36,314
10043527,Female,Control,8 weeks,1,181
10043527,Female,Control,8 weeks,6,183
10043527,Female,Control,8 weeks,11,188
10043527,Female,Control,8 weeks,16,182
10043527,Female,Control,8 weeks,21,192
10043527,Female,Control,8 weeks,26,194
10043527,Female,Control,8 weeks,31,195
10043527,Female,Control,8 weeks,36,199
10043608,Female,Training,8 weeks,1,188
10043608,Female,Training,8 weeks,6,189
10043608,Female,Training,8 weeks,11,194
10043608,Female,Training,8 weeks,16,182
10043608,Female,Training,8 weeks,21,192
10043608,Female,Training,8 weeks,26,189
10043608,Female,Training,8 weeks,31,193
10043608,Female,Training,8 weeks,36,193
10043799,Female,Control,8 weeks,1,182
10043799,Female,Control,8 weeks,6,186
10043799,Female,Control,8 weeks,11,191
10043799,Female,Control,8 weeks,16,192
10043799,Female,Control,8 weeks,21,195
10043799,Female,Control,8 weeks,26,193
10043799,Female,Control,8 weeks,31,194
10043799,Female,Control,8 weeks,36,203
10043950,Female,Control,8 weeks,1,176
10043950,Female,Control,8 weeks,6,177
10043950,Female,Control,8 weeks,11,195
10043950,Female,Control,8 weeks,16,191
10043950,Female,Control,8 weeks,21,191
10043950,Female,Control,8 weeks,26,189
10043950,Female,Control,8 weeks,31,193
10043950,Female,Control,8 weeks,36,202.3
10044094,Female,Control,8 weeks,1,182
10044094,Female,Control,8 weeks,6,185
10044094,Female,Control,8 weeks,11,189
10044094,Female,Control,8 weeks,16,185
10044094,Female,Control,8 weeks,21,189
10044094,Female,Control,8 weeks,26,191
10044094,Female,Control,8 weeks,31,192
10044094,Female,Control,8 weeks,36,190
10044256,Female,Training,8 weeks,1,165
10044256,Female,Training,8 weeks,6,170
10044256,Female,Training,8 weeks,11,169
10044256,Female,Training,8 weeks,16,168
10044256,Female,Training,8 weeks,21,169
10044256,Female,Training,8 weeks,26,168
10044256,Female,Training,8 weeks,31,173
10044256,Female,Training,8 weeks,36,181
10044337,Female,Control,8 weeks,1,187
10044337,Female,Control,8 weeks,6,188
10044337,Female,Control,8 weeks,11,191
10044337,Female,Control,8 weeks,16,191
10044337,Female,Control,8 weeks,21,196
10044337,Female,Control,8 weeks,26,198
10044337,Female,Control,8 weeks,31,200
10044337,Female,Control,8 weeks,36,205
10044418,Female,Control,8 weeks,1,179
10044418,Female,Control,8 weeks,6,179
10044418,Female,Control,8 weeks,11,184
10044418,Female,Control,8 weeks,16,185
10044418,Female,Control,8 weeks,21,199
10044418,Female,Control,8 weeks,26,190
10044418,Female,Control,8 weeks,31,193
10044418,Female,Control,8 weeks,36,191
10044760,Female,Training,8 weeks,1,171
10044760,Female,Training,8 weeks,6,171
10044760,Female,Training,8 weeks,11,177
10044760,Female,Training,8 weeks,16,176
10044760,Female,Training,8 weeks,21,179
10044760,Female,Training,8 weeks,26,180
10044760,Female,Training,8 weeks,31,183
10044760,Female,Training,8 weeks,36,185
10044841,Female,Training,8 weeks,1,179
10044841,Female,Training,8 weeks,6,179
10044841,Female,Training,8 weeks,11,181
10044841,Female,Training,8 weeks,16,180
10044841,Female,Training,8 weeks,21,181
10044841,Female,Training,8 weeks,26,179
10044841,Female,Training,8 weeks,31,183
10044841,Female,Training,8 weeks,36,185
10044922,Female,Control,8 weeks,1,168
10044922,Female,Control,8 weeks,6,172
10044922,Female,Control,8 weeks,11,180
10044922,Female,Control,8 weeks,16,178
10044922,Female,Control,8 weeks,21,183
10044922,Female,Control,8 weeks,26,186
10044922,Female,Control,8 weeks,31,187
10044922,Female,Control,8 weeks,36,191
10045228,Female,Training,8 weeks,1,170
10045228,Female,Training,8 weeks,6,169
10045228,Female,Training,8 weeks,11,169
10045228,Female,Training,8 weeks,16,167
10045228,Female,Training,8 weeks,21,169
10045228,Female,Training,8 weeks,26,169
10045228,Female,Training,8 weeks,31,178
10045228,Female,Training,8 weeks,36,182
10045309,Female,Training,8 weeks,1,182
10045309,Female,Training,8 weeks,6,180
10045309,Female,Training,8 weeks,11,181
10045309,Female,Training,8 weeks,16,181
10045309,Female,Training,8 weeks,21,182
10045309,Female,Training,8 weeks,26,180
10045309,Female,Training,8 weeks,31,181
10045309,Female,Training,8 weeks,36,183
10045570,Female,Control,8 weeks,1,172
10045570,Female,Control,8 weeks,6,173
10045570,Female,Control,8 weeks,11,183
10045570,Female,Control,8 weeks,16,180
10045570,Female,Control,8 weeks,21,181
10045570,Female,Control,8 weeks,26,185
10045570,Female,Control,8 weeks,31,187
10045570,Female,Control,8 weeks,36,183
10045651,Female,Training,8 weeks,1,191
10045651,Female,Training,8 weeks,6,189
10045651,Female,Training,8 weeks,11,195
10045651,Female,Training,8 weeks,16,196
10045651,Female,Training,8 weeks,21,194
10045651,Female,Training,8 weeks,26,194
10045651,Female,Training,8 weeks,31,196
10045651,Female,Training,8 weeks,36,200
10045732,Female,Training,8 weeks,1,178
10045732,Female,Training,8 weeks,6,175
10045732,Female,Training,8 weeks,11,176
10045732,Female,Training,8 weeks,16,173
10045732,Female,Training,8 weeks,21,178
10045732,Female,Training,8 weeks,26,180
10045732,Female,Training,8 weeks,31,184
10045732,Female,Training,8 weeks,36,181
10045813,Female,Control,8 weeks,1,171.2
10045813,Female,Control,8 weeks,6,171.3
10045813,Female,Control,8 weeks,11,176.3
10045813,Female,Control,8 weeks,16,175.1
10045813,Female,Control,8 weeks,21,177.5
10045813,Female,Control,8 weeks,26,180.2
10045813,Female,Control,8 weeks,31,186
10045813,Female,Control,8 weeks,36,182.5
10046038,Female,Control,8 weeks,1,187
10046038,Female,Control,8 weeks,6,187
10046038,Female,Control,8 weeks,11,189
10046038,Female,Control,8 weeks,16,189
10046038,Female,Control,8 weeks,21,192
10046038,Female,Control,8 weeks,26,193
10046038,Female,Control,8 weeks,31,199
10046038,Female,Control,8 weeks,36,208
10046119,Female,Control,8 weeks,1,188
10046119,Female,Control,8 weeks,6,191
10046119,Female,Control,8 weeks,11,197
10046119,Female,Control,8 weeks,16,195
10046119,Female,Control,8 weeks,21,200
10046119,Female,Control,8 weeks,26,200
10046119,Female,Control,8 weeks,31,202
10046119,Female,Control,8 weeks,36,208
10046380,Female,Control,8 weeks,1,190.3
10046380,Female,Control,8 weeks,6,193.5
10046380,Female,Control,8 weeks,11,203.8
10046380,Female,Control,8 weeks,16,204.4
10046380,Female,Control,8 weeks,21,207.2
10046380,Female,Control,8 weeks,26,207.4
10046380,Female,Control,8 weeks,31,207.6
10046380,Female,Control,8 weeks,36,215.8
10046461,Female,Training,8 weeks,1,195
10046461,Female,Training,8 weeks,6,196
10046461,Female,Training,8 weeks,11,201
10046461,Female,Training,8 weeks,16,200
10046461,Female,Training,8 weeks,21,199
10046461,Female,Training,8 weeks,26,196
10046461,Female,Training,8 weeks,31,193
10046461,Female,Training,8 weeks,36,204
10046542,Female,Training,8 weeks,1,198
10046542,Female,Training,8 weeks,6,198
10046542,Female,Training,8 weeks,11,200
10046542,Female,Training,8 weeks,16,197
10046542,Female,Training,8 weeks,21,197
10046542,Female,Training,8 weeks,26,195
10046542,Female,Training,8 weeks,31,194
10046542,Female,Training,8 weeks,36,196
10046623,Female,Training,8 weeks,1,190
10046623,Female,Training,8 weeks,6,189
10046623,Female,Training,8 weeks,11,195
10046623,Female,Training,8 weeks,16,193
10046623,Female,Training,8 weeks,21,193
10046623,Female,Training,8 weeks,26,193
10046623,Female,Training,8 weeks,31,189
10046623,Female,Training,8 weeks,36,193
10046704,Female,Training,8 weeks,1,172
10046704,Female,Training,8 weeks,6,174
10046704,Female,Training,8 weeks,11,172
10046704,Female,Training,8 weeks,16,167
10046704,Female,Training,8 weeks,21,171
10046704,Female,Training,8 weeks,26,172
10046704,Female,Training,8 weeks,31,174
10046704,Female,Training,8 weeks,36,177
10046895,Female,Training,8 weeks,1,185
10046895,Female,Training,8 weeks,6,186
10046895,Female,Training,8 weeks,11,186
10046895,Female,Training,8 weeks,16,189
10046895,Female,Training,8 weeks,21,186
10046895,Female,Training,8 weeks,26,185
10046895,Female,Training,8 weeks,31,188
10046895,Female,Training,8 weeks,36,193
10046976,Female,Training,8 weeks,1,181
10046976,Female,Training,8 weeks,6,183
10046976,Female,Training,8 weeks,11,188
10046976,Female,Training,8 weeks,16,187
10046976,Female,Training,8 weeks,21,194
10046976,Female,Training,8 weeks,26,189
10046976,Female,Training,8 weeks,31,193
10046976,Female,Training,8 weeks,36,195
